local authority: county / unitary (as of April 2023),mnemonic,Disabled under the Equality Act,Not disabled under the Equality Act
Hartlepool,E06000001,20371,71108
Middlesbrough,E06000002,27999,113421
Redcar and Cleveland,E06000003,29393,105913
Stockton-on-Tees,E06000004,37208,156566
Darlington,E06000005,20261,86546
County Durham,E06000047,114521,394249
Northumberland,E06000057,64218,251884
Newcastle upon Tyne,E08000021,53132,229744
North Tyneside,E08000022,40583,167133
South Tyneside,E08000023,32498,114106
Sunderland,E08000024,62311,208075
Gateshead,E08000037,40905,152689
Halton,E06000006,27674,99920
Warrington,E06000007,35152,172698
Blackburn with Darwen,E06000008,27554,125688
Blackpool,E06000009,33690,104319
Cheshire East,E06000049,64729,329639
Cheshire West and Chester,E06000050,63445,288647
Cumberland,E06000063,52324,218076
Westmorland and Furness,E06000064,40734,182406
Bolton,E08000001,52103,241602
Bury,E08000002,34462,157581
Manchester,E08000003,91755,438385
Oldham,E08000004,43048,197601
Rochdale,E08000005,41134,180755
Salford,E08000006,47660,216583
Stockport,E08000007,51621,240930
Tameside,E08000008,45072,184610
Trafford,E08000009,36359,197311
Wigan,E08000010,64002,262847
Knowsley,E08000011,34216,119472
Liverpool,E08000012,100503,363369
St. Helens,E08000013,39778,142243
Sefton,E08000014,58088,217609
Wirral,E08000015,70667,246738
Lancashire,E10000017,226155,979621
"Kingston upon Hull, City of",E06000010,50848,211585
East Riding of Yorkshire,E06000011,59664,276376
North East Lincolnshire,E06000012,30848,124614
North Lincolnshire,E06000013,31851,136143
York,E06000014,31796,159778
North Yorkshire,E06000065,103329,500164
Barnsley,E08000016,52448,190429
Doncaster,E08000017,59472,243704
Rotherham,E08000018,54578,209379
Sheffield,E08000019,104391,431495
Bradford,E08000032,90518,450033
Calderdale,E08000033,36808,168509
Kirklees,E08000034,72639,355013
Leeds,E08000035,129413,661097
Wakefield,E08000036,68687,281138
Derby,E06000015,47067,209888
Leicester,E06000016,53535,301822
Rutland,E06000017,5808,31633
Nottingham,E06000018,56089,244976
North Northamptonshire,E06000061,60165,295931
West Northamptonshire,E06000062,61698,357533
Derbyshire,E10000007,154049,633424
Leicestershire,E10000018,113470,584962
Lincolnshire,E10000019,147228,605591
Nottinghamshire,E10000024,155653,657496
"Herefordshire, County of",E06000019,33227,151428
Telford and Wrekin,E06000020,35550,148077
Stoke-on-Trent,E06000021,52566,202265
Shropshire,E06000051,56919,259354
Birmingham,E08000025,189225,928630
Coventry,E08000026,54695,277910
Dudley,E08000027,61038,260459
Sandwell,E08000028,59325,280466
Solihull,E08000029,36159,178812
Walsall,E08000030,52948,229442
Wolverhampton,E08000031,46231,214093
Staffordshire,E10000028,157229,704510
Warwickshire,E10000031,95853,492819
Worcestershire,E10000034,103635,491640
Peterborough,E06000031,33786,179679
Luton,E06000032,29983,192982
Southend-on-Sea,E06000033,31577,147072
Thurrock,E06000034,24905,150419
Bedford,E06000055,27252,155609
Central Bedfordshire,E06000056,42933,248861
Cambridgeshire,E10000003,103539,550068
Essex,E10000012,241796,1246427
Hertfordshire,E10000015,165731,1018197
Norfolk,E10000020,175675,723674
Suffolk,E10000029,133053,615456
City of London,E09000001,871,7501
Barking and Dagenham,E09000002,28317,189631
Barnet,E09000003,47730,338221
Bexley,E09000004,35121,210149
Brent,E09000005,39743,296065
Bromley,E09000006,44544,283655
Camden,E09000007,30645,172059
Croydon,E09000008,52508,334869
Ealing,E09000009,43001,319907
Enfield,E09000010,43349,284758
Greenwich,E09000011,39901,244750
Hackney,E09000012,36212,220428
Hammersmith and Fulham,E09000013,22219,158375
Haringey,E09000014,35307,226761
Harrow,E09000015,30163,228852
Havering,E09000016,37140,223412
Hillingdon,E09000017,37931,262488
Hounslow,E09000018,34451,251927
Islington,E09000019,33650,177677
Kensington and Chelsea,E09000020,17662,123403
Kingston upon Thames,E09000021,20791,143900
Lambeth,E09000022,40315,272945
Lewisham,E09000023,41823,256059
Merton,E09000024,25062,189049
Newham,E09000025,41241,307171
Redbridge,E09000026,35688,272806
Richmond upon Thames,E09000027,22550,170867
Southwark,E09000028,40926,261567
Sutton,E09000029,28585,179839
Tower Hamlets,E09000030,39099,264579
Waltham Forest,E09000031,35746,240940
Wandsworth,E09000032,35516,287474
Westminster,E09000033,27457,172489
