local authority: county / unitary (as of April 2023),mnemonic,2021
City of London,E09000001,8583
Barking and Dagenham,E09000002,218869
Barnet,E09000003,389344
Bexley,E09000004,246472
Brent,E09000005,339816
Bromley,E09000006,329992
Camden,E09000007,210136
Croydon,E09000008,390719
Ealing,E09000009,367115
Enfield,E09000010,329984
Greenwich,E09000011,289068
Hackney,E09000012,259146
Hammersmith and Fulham,E09000013,183157
Haringey,E09000014,264238
Harrow,E09000015,261203
Havering,E09000016,262052
Hillingdon,E09000017,305909
Hounslow,E09000018,288181
Islington,E09000019,216589
Kensington and Chelsea,E09000020,143375
Kingston upon Thames,E09000021,168063
Lambeth,E09000022,317654
Lewisham,E09000023,300553
Merton,E09000024,215186
Newham,E09000025,351036
Redbridge,E09000026,310260
Richmond upon Thames,E09000027,195278
Southwark,E09000028,307637
Sutton,E09000029,209639
Tower Hamlets,E09000030,310306
Waltham Forest,E09000031,278426
Wandsworth,E09000032,327506
Westminster,E09000033,204236
